brand,model,year,km,color,date,fuel,gear,engine_volume,engine_power,price
AlfaRomeo,AlfaRomeo 1.6 TS Distinctive,2004,195.000,Kırmızı,27 Mayıs 2020,LPG &amp; Benzin,Düz,1598,120,41.750
AlfaRomeo,AlfaRomeo 1.6 JTD Distinctive,2012,179.000,Kırmızı,27 Mayıs 2020,Dizel,Düz,1598,105,79.900
AlfaRomeo,AlfaRomeo 1.6 TS Distinctive,2004,343.000,Füme,27 Mayıs 2020,Benzin,Düz,1401 - 1600,101 - 125,30.000
AlfaRomeo,AlfaRomeo 1.4 TB MultiAir Distinctive,2015,67.000,Beyaz,27 Mayıs 2020,Benzin,Otomatik,1368,170,115.000
AlfaRomeo,AlfaRomeo 1.6 JTD Progression Plus,2013,135.000,Beyaz,26 Mayıs 2020,Dizel,Düz,1598,105,104.000
AlfaRomeo,AlfaRomeo 1.6 JTD Distinctive,2012,109.812,Altın,25 Mayıs 2020,Dizel,Düz,1598,105,111.000
AlfaRomeo,AlfaRomeo 1.6 TS Distinctive,2005,221.000,Kırmızı,23 Mayıs 2020,LPG &amp; Benzin,Düz,1598,120,39.000
AlfaRomeo,AlfaRomeo 2.0 TS,1998,200.000,Kırmızı,22 Mayıs 2020,Benzin,Düz,1970,155,24.750
AlfaRomeo,AlfaRomeo 1.6 JTD Distinctive,2013,114.000,Kırmızı,21 Mayıs 2020,Dizel,Düz,1598,105,113.000
AlfaRomeo,AlfaRomeo 1.6 JTD Distinctive,2015,174.000,Beyaz,21 Mayıs 2020,Dizel,Düz,1598,105,103.500
AlfaRomeo,AlfaRomeo 1.6 TS Collezione,2008,94.000,Beyaz,21 Mayıs 2020,Benzin,Düz,1598,105,70.900
AlfaRomeo,AlfaRomeo 1.9 JTD Q2,2008,244.000,Siyah,20 Mayıs 2020,Dizel,Düz,1910,150,83.000
AlfaRomeo,AlfaRomeo 1.4 TB MultiAir Distinctive,2013,80.550,Beyaz,20 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,151 - 175,118.000
AlfaRomeo,AlfaRomeo 1.6 JTD Progression,2018,135.000,Gri (titanyum),20 Mayıs 2020,Dizel,Otomatik,1598,120,162.000
AlfaRomeo,AlfaRomeo 1.6 JTD Progression,2016,139.000,Kırmızı,20 Mayıs 2020,Dizel,Otomatik,1598,120,149.990
AlfaRomeo,AlfaRomeo 1.6 TS,1998,320.000,Mavi (metalik),18 Mayıs 2020,LPG &amp; Benzin,Düz,1598,120,19.850
AlfaRomeo,AlfaRomeo 1.6 TS Progression,2005,251.000,Gri,18 Mayıs 2020,LPG &amp; Benzin,Düz,1598,120,43.500
AlfaRomeo,AlfaRomeo 2.0 JTS Distinctive Selespeed,2006,166.000,Siyah,17 Mayıs 2020,Benzin,Otomatik,1970,165,55.000
AlfaRomeo,AlfaRomeo 2.0 TS Selespeed,2002,220.000,Beyaz,17 Mayıs 2020,LPG &amp; Benzin,Otomatik,1970,155,43.500
AlfaRomeo,AlfaRomeo 1.6 JTD Super TCT,2016,123.000,Beyaz,17 Mayıs 2020,Dizel,Otomatik,1598,120,143.000
AlfaRomeo,AlfaRomeo 1.4 T Distinctive,2009,178.000,Beyaz,15 Mayıs 2020,Benzin,Düz,1368,155,69.750
AlfaRomeo,AlfaRomeo 1.6 JTD Distinctive,2014,118.000,Beyaz,14 Mayıs 2020,Dizel,Düz,1598,105,102.900
AlfaRomeo,AlfaRomeo 1.6 JTD Super TCT,2016,68.127,Mavi,14 Mayıs 2020,Dizel,Otomatik,1598,120,215.000
AlfaRomeo,AlfaRomeo 2.0 TS Sport,1996,216.000,Bej,13 Mayıs 2020,Benzin,Düz,1970,150,20.000
AlfaRomeo,AlfaRomeo 2.0 Turbo,1994,158.000,Bordo,13 Mayıs 2020,LPG &amp; Benzin,Düz,1996,204,30.000
AlfaRomeo,AlfaRomeo 1.6 TS Distinctive,2003,207.000,Gri,13 Mayıs 2020,Benzin,Düz,1401 - 1600,101 - 125,38.000
AlfaRomeo,AlfaRomeo 1.6 TS Distinctive,2005,310.000,Sarı,13 Mayıs 2020,Benzin,Düz,1598,120,37.500
AlfaRomeo,AlfaRomeo 1.6 JTD Progression,2017,31.000,Kırmızı,13 Mayıs 2020,Dizel,Otomatik,1598,120,157.500
AlfaRomeo,AlfaRomeo 1.6 JTD Distinctive,2013,148.750,Beyaz,13 Mayıs 2020,Dizel,Düz,1598,105,97.500
AlfaRomeo,AlfaRomeo 1.4 TB MultiAir Distinctive,2013,115.000,Beyaz,12 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,151 - 175,133.500
AlfaRomeo,AlfaRomeo 1.75 TBi Quadrifoglio Verde,2013,75.000,Kırmızı,12 Mayıs 2020,Benzin,Düz,1742,235,179.500
AlfaRomeo,AlfaRomeo 1.6 JTD Super TCT,2017,19.000,Beyaz,12 Mayıs 2020,Dizel,Otomatik,1598,120,170.900
AlfaRomeo,AlfaRomeo 1.4 T MultiAir Sportivo,2012,79.800,Beyaz,12 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,126 - 150,116.900
AlfaRomeo,AlfaRomeo 1.4 TB MultiAir Distinctive,2015,55.000,Kırmızı,12 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,151 - 175,134.500
AlfaRomeo,AlfaRomeo 1.6 JTD Distinctive,2015,100.000,Kırmızı,11 Mayıs 2020,Dizel,Düz,1598,105,117.000
AlfaRomeo,AlfaRomeo 1.4 TB MultiAir Super TCT,2017,49.000,Füme,10 Mayıs 2020,Benzin,Otomatik,1368,170,165.500
AlfaRomeo,AlfaRomeo 1.4 T MultiAir Sportivo,2012,63.000,Beyaz,10 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,126 - 150,95.000
AlfaRomeo,AlfaRomeo 1.6 JTD Progression Plus,2015,157.259,Beyaz,10 Mayıs 2020,Dizel,Düz,1598,105,103.500
AlfaRomeo,AlfaRomeo 2.0 TS Selespeed,2000,241.000,Gri,10 Mayıs 2020,Benzin,Otomatik,1970,155,36.750
AlfaRomeo,AlfaRomeo 1.9 JTD Distinctive Plus,2009,218.000,Siyah,09 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,126 - 150,70.000
AlfaRomeo,AlfaRomeo 1.4 TB MultiAir Distinctive,2012,72.500,Beyaz,07 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,151 - 175,94.500
AlfaRomeo,AlfaRomeo 1.4 T Distinctive,2009,143.000,Kırmızı,04 Mayıs 2020,Benzin,Düz,1368,155,71.000
AlfaRomeo,AlfaRomeo 1.6 JTD Super TCT,2016,80.000,Kırmızı,04 Mayıs 2020,Dizel,Otomatik,1598,120,166.500
AlfaRomeo,AlfaRomeo 1.9 JTD Distinctive Plus,2007,243.000,Siyah,03 Mayıs 2020,Dizel,Otomatik,1801 - 2000,126 - 150,148.500
AlfaRomeo,AlfaRomeo 1.9 JTD Distinctive Plus,2007,238.000,Kırmızı,02 Mayıs 2020,Dizel,Düz,1910,150,70.000
AlfaRomeo,AlfaRomeo 1.6 JTD Progression,2014,114.000,Beyaz,30 Nisan 2020,Dizel,Düz,1598,105,97.000
AlfaRomeo,AlfaRomeo 1.6 JTD Super TCT,2017,45.116,Kırmızı,30 Nisan 2020,Dizel,Otomatik,1598,120,167.500
AlfaRomeo,AlfaRomeo 1.6 JTD Progression Plus,2015,100.791,Beyaz,30 Nisan 2020,Dizel,Düz,1598,105,114.500
AlfaRomeo,AlfaRomeo 1.6 JTD Super TCT,2018,16.000,Kırmızı,27 Nisan 2020,Dizel,Otomatik,1598,120,174.000
AlfaRomeo,AlfaRomeo 1.6 TS,1999,187.000,Lacivert,26 Nisan 2020,Benzin,Düz,1598,120,34.500
AlfaRomeo,AlfaRomeo 2.0 JTS Distinctive,2003,183.000,Gri,25 Nisan 2020,Benzin,Yarı Otomatik,1801 - 2000,151 - 175,42.900
AlfaRomeo,AlfaRomeo 1.4 TB MultiAir Super TCT,2017,33.000,Kırmızı,23 Nisan 2020,Benzin,Otomatik,1368,170,163.000
AlfaRomeo,AlfaRomeo 1.6 TS Distinctive,2002,275.000,Gri,23 Nisan 2020,Benzin,Düz,1401 - 1600,101 - 125,33.950
AlfaRomeo,AlfaRomeo 1.6 TS Progression,2005,123.456,Kırmızı,22 Nisan 2020,LPG &amp; Benzin,Düz,1598,120,8.000
AlfaRomeo,AlfaRomeo 1.6 JTD Progression,2016,42.000,Altın,22 Nisan 2020,Dizel,Otomatik,1598,120,149.000
AlfaRomeo,AlfaRomeo 1.6 JTD Super TCT,2018,100,Altın,20 Nisan 2020,Dizel,Otomatik,1598,120,205.000
AlfaRomeo,AlfaRomeo 1.6 JTD Progression,2018,2.000,Kırmızı,16 Nisan 2020,Dizel,Otomatik,1598,120,186.750
AlfaRomeo,AlfaRomeo 1.6 JTD Progression Plus,2011,130.000,Kırmızı,04 Nisan 2020,Dizel,Düz,1401 - 1600,101 - 125,85.000
AlfaRomeo,AlfaRomeo 1.4 TB MultiAir Distinctive,2012,70.000,Kırmızı,01 Nisan 2020,Benzin,Yarı Otomatik,1201 - 1400,151 - 175,112.500
AlfaRomeo,AlfaRomeo 1.9 JTD Distinctive,2006,240.000,Siyah,29 Mart 2020,Dizel,Düz,1910,150,72.000
AstonMartin,AstonMartin Coupe,2010,33.050,Gri,25 Mayıs 2020,Benzin,Otomatik,5501 - 6000,501 - 525,1.045.000
AstonMartin,AstonMartin Coupe,2011,19.467,Gri,23 Mayıs 2020,Benzin,Otomatik,5935,476,775.000
AstonMartin,AstonMartin V12,2003,117.731,Lacivert,23 Mayıs 2020,Benzin,Düz,5935,460,358.000
AstonMartin,AstonMartin Coupe,2012,19.000,Turuncu,19 Mayıs 2020,Benzin,Yarı Otomatik,5501 - 6000,476 - 500,975.000
AstonMartin,AstonMartin Coupe,2016,11.105,Gri,16 Mayıs 2020,Benzin,Otomatik,5001 - 5500,608,2.450.000
AstonMartin,AstonMartin V8 Vantage,2008,40.157,Siyah,15 Mayıs 2020,Benzin,Otomatik,4001 - 4500,376 - 400,689.000
AstonMartin,AstonMartin 6.0,2015,24.000,Beyaz,13 Mayıs 2020,Benzin,Yarı Otomatik,5501 - 6000,526 - 550,1.800.000
AstonMartin,AstonMartin Volante,2012,55.000,Siyah,02 Mayıs 2020,Benzin,Yarı Otomatik,5501 - 6000,476 - 500,1.220.000
AstonMartin,AstonMartin V8 Vantage,2015,9.362,Gri,30 Nisan 2020,Benzin,Otomatik,4735,426,925.000
AstonMartin,AstonMartin V12,2015,6.045,Siyah,23 Nisan 2020,Benzin,Otomatik,5501 - 6000,576 - 600,2.500.000
AstonMartin,AstonMartin Volante,2011,9.012,Gri,23 Nisan 2020,Benzin,Otomatik,5935,517,2.250.000
AstonMartin,AstonMartin Coupe,2016,12.695,Füme,15 Nisan 2020,Benzin,Otomatik,5200,608,2.800.000
AstonMartin,AstonMartin 6.0,2016,17.118,Bej,10 Nisan 2020,Benzin,Yarı Otomatik,5935,568,1.950.000
AstonMartin,AstonMartin Coupe,2010,25.000,Siyah,01 Nisan 2020,Benzin,Otomatik,5501 - 6000,476 - 500,740.000
AstonMartin,AstonMartin 5.9,2015,17.292,Siyah,30 Mart 2020,Benzin,Otomatik,5501 - 6000,551 - 575,2.000.000
AstonMartin,AstonMartin V12,2015,6.045,Siyah,30 Mart 2020,Benzin,Otomatik,5501 - 6000,576 - 600,2.500.000
Audi,Audi A4 Sedan 1.4 TFSI,2016,67.000,Beyaz,27 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,126 - 150,227.900
Audi,Audi A6 Sedan 1.9 TDI,2004,420.000,Bej,22 Mayıs 2020,Dizel,Otomatik,1896,130,67.500
Audi,Audi A4 Sedan 2.0 TDI Design,2016,121.280,Siyah,22 Mayıs 2020,Dizel,Yarı Otomatik,1968,190,267.500
Audi,Audi A6 Sedan 2.0 TDI,2012,122.000,Beyaz,20 Mayıs 2020,Dizel,Otomatik,1998,177,289.700
Audi,Audi A4 Sedan 2.0 TDI,2011,87.800,Siyah,20 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,126 - 150,192.500
Audi,Audi A5 Sportback 2.0 TFSI Quattro,2010,82.000,Beyaz,20 Mayıs 2020,Benzin,Yarı Otomatik,1984,211,212.900
Audi,Audi A3 Sedan 1.6 TDI Dynamic,2016,61.900,Siyah,18 Nisan 2020,Dizel,Otomatik,1401 - 1600,101 - 125,189.900
Audi,Audi A3 Sedan 30 TDI Dynamic,2016,56.300,Siyah,18 Nisan 2020,Dizel,Otomatik,1401 - 1600,101 - 125,189.900
Audi,Audi A6 Sedan 2.0 TDI,2017,110.000,Siyah,27 Mayıs 2020,Dizel,Yarı Otomatik,1968,190,418.900
